Year,State,District,Name,Photo,Photo_Downloadable,Party,Votes,Incumbent,ID,Gender,Year_of_Birth,Edu,score,score_CNN,Poverty (%),Median_Household_Income,Pop_Total,Pop_M,Pop_F,Sex Ratio,total_votes,vote_share,ln_vote_share,Age
2018,CA,1,Doug LaMalfa,https://upload.wikimedia.org/wikipedia/commons/2/23/Doug_LaMalfa_113th_Congress_official_photo.jpg,T,Republican,160046.0,1,CA_1_1,M,1960.0,Bachelor,45.0,52.0,15.0,56008,711282,357637,353645,1.0112881562018408,291594.0,0.5488658888728849,-0.5999011498775029,58.0
2018,CA,1,Audrey Denney,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,131548.0,0,CA_1_2,F,1984.0,Master,79.0,79.0,15.0,56008,711282,357637,353645,1.0112881562018408,291594.0,0.4511341111271151,-0.7959906197651304,34.0
2018,CA,2,Jared Huffman,https://upload.wikimedia.org/wikipedia/commons/a/a9/Jared_Huffman_116th_Congress.jpg,T,Democratic,243081.0,1,CA_2_1,M,1964.0,Doctor,71.0,71.0,11.4,79338,722370,357376,364994,0.979128424028888,315657.0,0.7700795483705415,-0.26126145989834204,54.0
2018,CA,2,Dale K. Mensing,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,72576.0,0,CA_2_2,M,1958.0,Bachelor,73.0,70.0,11.4,79338,722370,357376,364994,0.979128424028888,315657.0,0.22992045162945857,-1.4700218923637787,60.0
2018,CA,3,John Garamendi,https://upload.wikimedia.org/wikipedia/commons/3/36/John_Garamendi_official_photo_%28cropped%29.jpg,T,Democratic,134875.0,1,CA_3_1,M,1945.0,Master,76.0,78.0,13.8,70807,748104,370187,377917,0.9795457732782596,232251.0,0.5807294694102502,-0.5434702598114388,73.0
2018,CA,3,Charlie Schaupp,https://upload.wikimedia.org/wikipedia/commons/c/c9/Charlie_Schaupp_%28cropped%29.png,T,Republican,97376.0,0,CA_3_2,M,1955.0,Bachelor,70.0,69.0,13.8,70807,748104,370187,377917,0.9795457732782596,232251.0,0.4192705305897499,-0.869238909675177,63.0
2018,CA,4,Tom McClintock,https://upload.wikimedia.org/wikipedia/commons/a/a3/Tom_McClintock%2C_Official_Portrait_%28cropped%29.JPG,T,Republican,184401.0,1,CA_4_1,M,1956.0,Bachelor,80.0,81.0,8.8,78285,754525,377608,376917,1.0018332948633253,340654.0,0.5413146477070576,-0.6137545653069049,62.0
2018,CA,4,Jessica Morse,https://upload.wikimedia.org/wikipedia/commons/c/c5/JMorse-opt_%28cropped%29.jpg,T,Democratic,156253.0,0,CA_4_2,F,1982.0,Master,72.0,74.0,8.8,78285,754525,377608,376917,1.0018332948633253,340654.0,0.4586853522929424,-0.7793908109759932,36.0
2018,CA,5,Mike Thompson,https://upload.wikimedia.org/wikipedia/commons/0/05/Mike_Thompson%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg,T,Democratic,205860.0,1,CA_5_1,M,1951.0,Master,58.0,73.0,9.5,83141,730955,359113,371842,0.9657677185471248,261018.0,0.788681240374227,-0.23739304436350953,67.0
2018,CA,5,Anthony Mills,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,No party preference,55158.0,0,CA_5_2,M,,,,,9.5,83141,730955,359113,371842,0.9657677185471248,261018.0,0.21131875962577293,-1.5543875763522503,
