District,Poverty (%),Median_Household_Income,Pop_Total,Pop_M,Pop_F,Sex Ratio
1,15.4,57693,704482,353464,351018,1.0069683036197574
2,11.2,81739,714171,353057,361114,0.9776884861844182
3,13.3,74939,746967,373506,373461,1.0001204945094668
4,8.5,82657,750420,372802,377618,0.9872463706708896
5,9.3,86711,724984,353792,371192,0.9531239897411582
6,17.4,64395,764174,374721,389453,0.962172585652184
7,10.6,82795,762260,370533,391727,0.9458959938937066
8,17.9,56872,729399,366846,362553,1.0118410273808243
9,13.3,75842,775716,381416,394300,0.9673243723053513
10,12.4,71531,757213,377896,379317,0.9962537930016319
11,8.9,105392,760284,372317,387967,0.9596615176033013
12,10.3,122043,763777,391837,371940,1.0534951873958165
13,13.3,91829,760817,369768,391049,0.9455797099596215
14,6.7,123507,749549,371779,377770,0.9841411440823782
15,6.3,122791,788527,391046,397481,0.9838105469192238
16,24.1,51952,736400,367611,368789,0.9968057615601333
17,6.0,131233,776763,398055,378708,1.051086853195602
18,5.9,147196,744487,371063,373424,0.993677428338832
19,8.4,112598,758327,382430,375897,1.0173797609451525
20,12.1,87592,736750,370218,366532,1.0100564207217924
21,23.7,52937,713346,376118,337228,1.115322571079507
22,16.3,70172,769728,379163,390565,0.9708063958624045
23,17.6,63613,748143,378741,369402,1.025281400750402
24,12.2,82172,736030,369878,366152,1.010176101728244
25,12.3,85317,710525,354052,356473,0.993208461790935
26,9.1,92419,724221,358973,365248,0.9828198922376029
27,10.4,90099,711767,345064,366703,0.9409903927701709
28,12.9,76600,712193,354127,358066,0.9889992347779459
29,16.4,65938,715422,354373,361049,0.9815094350074367
30,10.2,92394,773221,379392,393829,0.9633419580579389
31,14.5,72140,752561,369243,383318,0.9632811399412499
32,11.3,78940,707305,348144,359161,0.9693257341415131
33,8.0,118525,708972,343707,365265,0.9409798365570202
34,21.9,54567,734546,374815,359731,1.041931332023095
35,14.2,71127,748454,374529,373925,1.0016152971852643
36,16.7,56181,755516,378376,377140,1.0032772975552846
37,16.9,71265,727449,352609,374840,0.9406920285988688
38,9.8,80289,706482,345403,361079,0.9565856779264371
39,8.8,101318,732667,360352,372315,0.9678686058848018
40,19.9,59385,708362,356180,352182,1.011352085001505
41,13.5,74149,768401,381428,386973,0.9856708349161311
42,8.4,95012,822515,410730,411785,0.9974379834136746
43,15.6,69727,727766,353231,374535,0.9431188006461345
44,17.5,63485,711773,348739,363034,0.9606235228656269
45,8.5,115609,781871,382627,399244,0.95837883600004
46,14.3,78526,730071,366517,363554,1.0081500959967433
47,13.5,78328,709979,351292,358687,0.9793831390599603
48,8.8,102052,720586,355055,365531,0.9713403240764805
49,7.6,99888,741671,372287,369384,1.0078590301691466
50,10.7,85223,748893,371498,377395,0.9843744617708237
51,18.5,57753,736161,375719,360442,1.0423840728882872
52,8.4,103423,774895,392953,381942,1.0288289845055008
53,10.8,83756,769064,383410,385654,0.9941813127829608
