ID,score,score_CNN
CA_42_1,74,76
CA_31_1,74,74
CA_39_1,68,67
CA_29_1,65,67
CA_25_2,78,78
CA_40_2,69,68
CA_40_1,76,76
CA_39_2,85,85
CA_37_2,66,72
CA_38_2,60,63
CA_3_1,76,78
CA_3_2,70,69
CA_26_1,68,68
CA_35_1,72,72
CA_2_2,73,70
CA_23_1,71,71
CA_41_2,73,74
CA_24_2,65,67
CA_28_1,67,70
CA_25_1,84,83
CA_29_2,70,71
CA_2_1,71,71
CA_26_2,75,73
CA_28_2,67,77
CA_31_2,71,73
CA_33_2,74,65
CA_21_2,68,70
CA_22_1,72,70
CA_37_1,69,49
CA_20_1,80,79
CA_24_1,75,76
CA_23_2,83,83
CA_27_2,80,81
CA_32_2,70,70
CA_34_2,68,72
CA_30_2,66,69
CA_36_2,70,70
CA_30_1,69,70
CA_35_2,76,73
CA_27_1,82,82
CA_1_1,45,52
CA_19_1,75,77
CA_22_2,84,83
CA_17_2,68,69
CA_20_2,67,69
CA_1_2,79,79
CA_18_1,80,83
CA_16_2,80,79
CA_18_2,80,83
CA_21_1,77,73
CA_17_1,87,87
CA_12_1,86,86
CA_19_2,72,73
CA_16_1,77,76
CA_15_1,67,65
CA_15_2,65,67
CA_13_2,67,71
CA_11_1,71,71
CA_14_1,77,71
CA_13_1,71,69
CA_14_2,76,75
CA_12_2,75,77
CA_11_2,68,67
CA_10_2,66,64
CA_10_1,68,70
CA_5_1,58,73
CA_9_2,68,66
CA_8_2,58,62
CA_48_1,75,71
CA_43_2,70,70
CA_53_1,73,74
CA_7_2,80,79
CA_43_1,75,76
CA_4_1,80,81
CA_50_1,84,85
CA_41_1,79,78
CA_52_1,65,65
CA_34_1,78,79
CA_53_2,83,85
CA_51_2,67,68
CA_52_2,86,89
CA_50_2,78,79
CA_44_2,68,71
CA_44_1,69,69
CA_46_1,66,73
CA_45_2,74,78
CA_47_2,58,62
CA_45_1,75,77
CA_42_2,74,79
CA_33_1,77,80
CA_51_1,76,77
CA_49_1,64,63
CA_49_2,72,79
CA_4_2,72,74
CA_32_1,77,75
CA_6_2,74,70
CA_48_2,68,71
CA_46_2,57,58
CA_38_1,72,69
CA_36_1,72,69
CA_47_1,66,64
CA_7_1,82,84
CA_6_1,69,68
CA_8_1,82,83
CA_9_1,64,59
