"GEO_ID","NAME","B29004_001E","B29004_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"5001600US0601","Congressional District 1 (116th Congress), California","57693","1012",
"5001600US0602","Congressional District 2 (116th Congress), California","81739","1365",
"5001600US0603","Congressional District 3 (116th Congress), California","74939","1121",
"5001600US0604","Congressional District 4 (116th Congress), California","82657","1156",
"5001600US0605","Congressional District 5 (116th Congress), California","86711","1102",
"5001600US0606","Congressional District 6 (116th Congress), California","64395","1176",
"5001600US0607","Congressional District 7 (116th Congress), California","82795","1460",
"5001600US0608","Congressional District 8 (116th Congress), California","56872","1063",
"5001600US0609","Congressional District 9 (116th Congress), California","75842","1306",
"5001600US0610","Congressional District 10 (116th Congress), California","71531","1397",
"5001600US0611","Congressional District 11 (116th Congress), California","105392","1663",
"5001600US0612","Congressional District 12 (116th Congress), California","122043","2017",
"5001600US0613","Congressional District 13 (116th Congress), California","91829","1597",
"5001600US0614","Congressional District 14 (116th Congress), California","123507","2471",
"5001600US0615","Congressional District 15 (116th Congress), California","122791","1867",
"5001600US0616","Congressional District 16 (116th Congress), California","51952","1042",
"5001600US0617","Congressional District 17 (116th Congress), California","131233","1820",
"5001600US0618","Congressional District 18 (116th Congress), California","147196","2440",
"5001600US0619","Congressional District 19 (116th Congress), California","112598","2197",
"5001600US0620","Congressional District 20 (116th Congress), California","87592","1409",
"5001600US0621","Congressional District 21 (116th Congress), California","52937","1189",
"5001600US0622","Congressional District 22 (116th Congress), California","70172","1290",
"5001600US0623","Congressional District 23 (116th Congress), California","63613","1546",
"5001600US0624","Congressional District 24 (116th Congress), California","82172","1208",
"5001600US0625","Congressional District 25 (116th Congress), California","85317","1576",
"5001600US0626","Congressional District 26 (116th Congress), California","92419","1575",
"5001600US0627","Congressional District 27 (116th Congress), California","90099","1573",
"5001600US0628","Congressional District 28 (116th Congress), California","76600","1714",
"5001600US0629","Congressional District 29 (116th Congress), California","65938","1354",
"5001600US0630","Congressional District 30 (116th Congress), California","92394","1717",
"5001600US0631","Congressional District 31 (116th Congress), California","72140","1424",
"5001600US0632","Congressional District 32 (116th Congress), California","78940","1356",
"5001600US0633","Congressional District 33 (116th Congress), California","118525","2490",
"5001600US0634","Congressional District 34 (116th Congress), California","54567","806",
"5001600US0635","Congressional District 35 (116th Congress), California","71127","1622",
"5001600US0636","Congressional District 36 (116th Congress), California","56181","1131",
"5001600US0637","Congressional District 37 (116th Congress), California","71265","1613",
"5001600US0638","Congressional District 38 (116th Congress), California","80289","1338",
"5001600US0639","Congressional District 39 (116th Congress), California","101318","1373",
"5001600US0640","Congressional District 40 (116th Congress), California","59385","1126",
"5001600US0641","Congressional District 41 (116th Congress), California","74149","1486",
"5001600US0642","Congressional District 42 (116th Congress), California","95012","1379",
"5001600US0643","Congressional District 43 (116th Congress), California","69727","1456",
"5001600US0644","Congressional District 44 (116th Congress), California","63485","1257",
"5001600US0645","Congressional District 45 (116th Congress), California","115609","2098",
"5001600US0646","Congressional District 46 (116th Congress), California","78526","1857",
"5001600US0647","Congressional District 47 (116th Congress), California","78328","1616",
"5001600US0648","Congressional District 48 (116th Congress), California","102052","1510",
"5001600US0649","Congressional District 49 (116th Congress), California","99888","1568",
"5001600US0650","Congressional District 50 (116th Congress), California","85223","1430",
"5001600US0651","Congressional District 51 (116th Congress), California","57753","1565",
"5001600US0652","Congressional District 52 (116th Congress), California","103423","1417",
"5001600US0653","Congressional District 53 (116th Congress), California","83756","1547",
"5001600US0601","Congressional District 1 (116th Congress), California","57693","1012",
"5001600US0602","Congressional District 2 (116th Congress), California","81739","1365",
"5001600US0603","Congressional District 3 (116th Congress), California","74939","1121",
"5001600US0604","Congressional District 4 (116th Congress), California","82657","1156",
"5001600US0605","Congressional District 5 (116th Congress), California","86711","1102",
"5001600US0606","Congressional District 6 (116th Congress), California","64395","1176",
"5001600US0607","Congressional District 7 (116th Congress), California","82795","1460",
"5001600US0608","Congressional District 8 (116th Congress), California","56872","1063",
"5001600US0609","Congressional District 9 (116th Congress), California","75842","1306",
"5001600US0610","Congressional District 10 (116th Congress), California","71531","1397",
"5001600US0611","Congressional District 11 (116th Congress), California","105392","1663",
"5001600US0612","Congressional District 12 (116th Congress), California","122043","2017",
"5001600US0613","Congressional District 13 (116th Congress), California","91829","1597",
"5001600US0614","Congressional District 14 (116th Congress), California","123507","2471",
"5001600US0615","Congressional District 15 (116th Congress), California","122791","1867",
"5001600US0616","Congressional District 16 (116th Congress), California","51952","1042",
"5001600US0617","Congressional District 17 (116th Congress), California","131233","1820",
"5001600US0618","Congressional District 18 (116th Congress), California","147196","2440",
"5001600US0619","Congressional District 19 (116th Congress), California","112598","2197",
"5001600US0620","Congressional District 20 (116th Congress), California","87592","1409",
"5001600US0621","Congressional District 21 (116th Congress), California","52937","1189",
"5001600US0622","Congressional District 22 (116th Congress), California","70172","1290",
"5001600US0623","Congressional District 23 (116th Congress), California","63613","1546",
"5001600US0624","Congressional District 24 (116th Congress), California","82172","1208",
"5001600US0625","Congressional District 25 (116th Congress), California","85317","1576",
"5001600US0626","Congressional District 26 (116th Congress), California","92419","1575",
"5001600US0627","Congressional District 27 (116th Congress), California","90099","1573",
"5001600US0628","Congressional District 28 (116th Congress), California","76600","1714",
"5001600US0629","Congressional District 29 (116th Congress), California","65938","1354",
"5001600US0630","Congressional District 30 (116th Congress), California","92394","1717",
"5001600US0631","Congressional District 31 (116th Congress), California","72140","1424",
"5001600US0632","Congressional District 32 (116th Congress), California","78940","1356",
"5001600US0633","Congressional District 33 (116th Congress), California","118525","2490",
"5001600US0634","Congressional District 34 (116th Congress), California","54567","806",
"5001600US0635","Congressional District 35 (116th Congress), California","71127","1622",
"5001600US0636","Congressional District 36 (116th Congress), California","56181","1131",
"5001600US0637","Congressional District 37 (116th Congress), California","71265","1613",
"5001600US0638","Congressional District 38 (116th Congress), California","80289","1338",
"5001600US0639","Congressional District 39 (116th Congress), California","101318","1373",
"5001600US0640","Congressional District 40 (116th Congress), California","59385","1126",
"5001600US0641","Congressional District 41 (116th Congress), California","74149","1486",
"5001600US0642","Congressional District 42 (116th Congress), California","95012","1379",
"5001600US0643","Congressional District 43 (116th Congress), California","69727","1456",
"5001600US0644","Congressional District 44 (116th Congress), California","63485","1257",
"5001600US0645","Congressional District 45 (116th Congress), California","115609","2098",
"5001600US0646","Congressional District 46 (116th Congress), California","78526","1857",
"5001600US0647","Congressional District 47 (116th Congress), California","78328","1616",
"5001600US0648","Congressional District 48 (116th Congress), California","102052","1510",
"5001600US0649","Congressional District 49 (116th Congress), California","99888","1568",
"5001600US0650","Congressional District 50 (116th Congress), California","85223","1430",
"5001600US0651","Congressional District 51 (116th Congress), California","57753","1565",
"5001600US0652","Congressional District 52 (116th Congress), California","103423","1417",
"5001600US0653","Congressional District 53 (116th Congress), California","83756","1547",
"5001600US0601","Congressional District 1 (116th Congress), California","57693","1012",
"5001600US0602","Congressional District 2 (116th Congress), California","81739","1365",
"5001600US0603","Congressional District 3 (116th Congress), California","74939","1121",
"5001600US0604","Congressional District 4 (116th Congress), California","82657","1156",
"5001600US0605","Congressional District 5 (116th Congress), California","86711","1102",
"5001600US0606","Congressional District 6 (116th Congress), California","64395","1176",
"5001600US0607","Congressional District 7 (116th Congress), California","82795","1460",
"5001600US0608","Congressional District 8 (116th Congress), California","56872","1063",
"5001600US0609","Congressional District 9 (116th Congress), California","75842","1306",
"5001600US0610","Congressional District 10 (116th Congress), California","71531","1397",
"5001600US0611","Congressional District 11 (116th Congress), California","105392","1663",
"5001600US0612","Congressional District 12 (116th Congress), California","122043","2017",
"5001600US0613","Congressional District 13 (116th Congress), California","91829","1597",
"5001600US0614","Congressional District 14 (116th Congress), California","123507","2471",
"5001600US0615","Congressional District 15 (116th Congress), California","122791","1867",
"5001600US0616","Congressional District 16 (116th Congress), California","51952","1042",
"5001600US0617","Congressional District 17 (116th Congress), California","131233","1820",
"5001600US0618","Congressional District 18 (116th Congress), California","147196","2440",
"5001600US0619","Congressional District 19 (116th Congress), California","112598","2197",
"5001600US0620","Congressional District 20 (116th Congress), California","87592","1409",
"5001600US0621","Congressional District 21 (116th Congress), California","52937","1189",
"5001600US0622","Congressional District 22 (116th Congress), California","70172","1290",
"5001600US0623","Congressional District 23 (116th Congress), California","63613","1546",
"5001600US0624","Congressional District 24 (116th Congress), California","82172","1208",
"5001600US0625","Congressional District 25 (116th Congress), California","85317","1576",
"5001600US0626","Congressional District 26 (116th Congress), California","92419","1575",
"5001600US0627","Congressional District 27 (116th Congress), California","90099","1573",
"5001600US0628","Congressional District 28 (116th Congress), California","76600","1714",
"5001600US0629","Congressional District 29 (116th Congress), California","65938","1354",
"5001600US0630","Congressional District 30 (116th Congress), California","92394","1717",
"5001600US0631","Congressional District 31 (116th Congress), California","72140","1424",
"5001600US0632","Congressional District 32 (116th Congress), California","78940","1356",
"5001600US0633","Congressional District 33 (116th Congress), California","118525","2490",
"5001600US0634","Congressional District 34 (116th Congress), California","54567","806",
"5001600US0635","Congressional District 35 (116th Congress), California","71127","1622",
"5001600US0636","Congressional District 36 (116th Congress), California","56181","1131",
"5001600US0637","Congressional District 37 (116th Congress), California","71265","1613",
"5001600US0638","Congressional District 38 (116th Congress), California","80289","1338",
"5001600US0639","Congressional District 39 (116th Congress), California","101318","1373",
"5001600US0640","Congressional District 40 (116th Congress), California","59385","1126",
"5001600US0641","Congressional District 41 (116th Congress), California","74149","1486",
"5001600US0642","Congressional District 42 (116th Congress), California","95012","1379",
"5001600US0643","Congressional District 43 (116th Congress), California","69727","1456",
"5001600US0644","Congressional District 44 (116th Congress), California","63485","1257",
"5001600US0645","Congressional District 45 (116th Congress), California","115609","2098",
"5001600US0646","Congressional District 46 (116th Congress), California","78526","1857",
"5001600US0647","Congressional District 47 (116th Congress), California","78328","1616",
"5001600US0648","Congressional District 48 (116th Congress), California","102052","1510",
"5001600US0649","Congressional District 49 (116th Congress), California","99888","1568",
"5001600US0650","Congressional District 50 (116th Congress), California","85223","1430",
"5001600US0651","Congressional District 51 (116th Congress), California","57753","1565",
"5001600US0652","Congressional District 52 (116th Congress), California","103423","1417",
"5001600US0653","Congressional District 53 (116th Congress), California","83756","1547",
