"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 years","Margin of Error!!Total!!Male!!20 years","Estimate!!Total!!Male!!21 years","Margin of Error!!Total!!Male!!21 years","Estimate!!Total!!Male!!22 to 24 years","Margin of Error!!Total!!Male!!22 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 39 years","Margin of Error!!Total!!Male!!35 to 39 years","Estimate!!Total!!Male!!40 to 44 years","Margin of Error!!Total!!Male!!40 to 44 years","Estimate!!Total!!Male!!45 to 49 years","Margin of Error!!Total!!Male!!45 to 49 years","Estimate!!Total!!Male!!50 to 54 years","Margin of Error!!Total!!Male!!50 to 54 years","Estimate!!Total!!Male!!55 to 59 years","Margin of Error!!Total!!Male!!55 to 59 years","Estimate!!Total!!Male!!60 and 61 years","Margin of Error!!Total!!Male!!60 and 61 years","Estimate!!Total!!Male!!62 to 64 years","Margin of Error!!Total!!Male!!62 to 64 years","Estimate!!Total!!Male!!65 and 66 years","Margin of Error!!Total!!Male!!65 and 66 years","Estimate!!Total!!Male!!67 to 69 years","Margin of Error!!Total!!Male!!67 to 69 years","Estimate!!Total!!Male!!70 to 74 years","Margin of Error!!Total!!Male!!70 to 74 years","Estimate!!Total!!Male!!75 to 79 years","Margin of Error!!Total!!Male!!75 to 79 years","Estimate!!Total!!Male!!80 to 84 years","Margin of Error!!Total!!Male!!80 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 years","Margin of Error!!Total!!Female!!20 years","Estimate!!Total!!Female!!21 years","Margin of Error!!Total!!Female!!21 years","Estimate!!Total!!Female!!22 to 24 years","Margin of Error!!Total!!Female!!22 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 39 years","Margin of Error!!Total!!Female!!35 to 39 years","Estimate!!Total!!Female!!40 to 44 years","Margin of Error!!Total!!Female!!40 to 44 years","Estimate!!Total!!Female!!45 to 49 years","Margin of Error!!Total!!Female!!45 to 49 years","Estimate!!Total!!Female!!50 to 54 years","Margin of Error!!Total!!Female!!50 to 54 years","Estimate!!Total!!Female!!55 to 59 years","Margin of Error!!Total!!Female!!55 to 59 years","Estimate!!Total!!Female!!60 and 61 years","Margin of Error!!Total!!Female!!60 and 61 years","Estimate!!Total!!Female!!62 to 64 years","Margin of Error!!Total!!Female!!62 to 64 years","Estimate!!Total!!Female!!65 and 66 years","Margin of Error!!Total!!Female!!65 and 66 years","Estimate!!Total!!Female!!67 to 69 years","Margin of Error!!Total!!Female!!67 to 69 years","Estimate!!Total!!Female!!70 to 74 years","Margin of Error!!Total!!Female!!70 to 74 years","Estimate!!Total!!Female!!75 to 79 years","Margin of Error!!Total!!Female!!75 to 79 years","Estimate!!Total!!Female!!80 to 84 years","Margin of Error!!Total!!Female!!80 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"5001600US0601","Congressional District 1 (116th Congress), California","706822","1347","354858","953","19073","330","20484","769","19439","796","12841","263","9793","314","5821","570","5514","541","15991","832","24422","370","21719","379","20241","659","18923","647","19079","311","22276","334","25437","735","10069","642","15787","634","9762","505","13675","527","18257","615","12146","562","7717","520","6392","378","351964","1093","18252","329","19936","850","18850","774","11505","278","8508","239","4840","499","6048","745","13337","871","20428","303","19404","269","18367","711","16966","681","19005","292","23293","333","26985","731","11150","534","17251","684","9940","562","15354","678","19105","612","12708","574","9332","564","11400","541",
"5001600US0602","Congressional District 2 (116th Congress), California","717732","1570","355063","1328","17718","425","20942","830","20828","846","12862","372","8815","399","4497","521","3670","450","13220","673","20620","593","20360","469","21999","863","22293","814","24411","449","25297","495","25534","785","11146","541","15549","633","10303","472","13286","592","18252","649","10859","474","6578","442","6024","426","362669","1279","17341","443","20676","836","20383","795","12192","375","8582","405","3718","574","3183","454","12249","704","17659","440","19296","444","20861","774","22100","748","23952","409","26281","427","28517","959","11746","644","16704","719","10691","564","16389","617","18978","641","12292","542","8396","519","10483","524",
"5001600US0603","Congressional District 3 (116th Congress), California","736039","1788","368033","1621","23864","498","24748","907","25303","792","14852","420","12079","447","8529","828","6655","651","18096","798","27995","760","26076","631","22582","775","21730","936","21602","482","24031","500","22547","587","9159","614","11684","681","7464","563","10165","454","11087","522","7647","509","5287","395","4851","312","368006","1540","22307","577","23967","797","23704","780","14246","494","12568","346","7022","682","7670","747","17159","806","26044","598","23883","488","21980","904","20483","747","22018","430","23869","560","22649","730","9817","625","13180","648","7861","498","10648","661","12954","547","9201","513","6834","461","7942","541",
"5001600US0604","Congressional District 4 (116th Congress), California","734899","1992","365221","1268","18773","395","22615","857","22948","871","14543","328","8503","321","4196","487","4121","482","11130","634","19657","430","20877","469","21761","804","22247","822","24216","461","25561","418","26602","842","10846","738","16270","728","9766","547","14200","699","19265","736","11966","505","8590","498","6568","490","369678","1389","17758","385","21557","749","21417","859","14121","317","7486","318","3295","374","3645","439","10723","669","17952","418","19922","366","22241","878","21198","902","24336","460","26396","430","29517","857","11276","629","17222","755","10781","549","14467","636","20723","744","14321","751","9098","481","10226","566",
"5001600US0605","Congressional District 5 (116th Congress), California","728000","2279","355771","1964","20944","630","21078","827","22885","1001","13410","504","8336","562","5176","614","4356","481","14897","813","25247","792","25158","720","23485","808","22178","780","22559","652","23912","680","23275","855","10783","599","14532","708","8391","464","11618","711","13840","567","8692","541","5406","398","5613","479","372229","1947","19931","663","19840","910","20527","795","13126","590","8995","444","4209","550","4649","517","14933","740","24493","744","24445","638","23238","963","21961","812","23008","632","25620","673","27577","845","11470","776","15783","708","9828","546","13542","599","15343","659","10924","705","8739","504","10048","542",
"5001600US0606","Congressional District 6 (116th Congress), California","751475","2389","366196","2211","27127","731","26263","909","26150","982","15071","669","9436","566","4880","587","5838","613","16434","1010","33925","1022","31492","839","25771","926","23183","917","21547","862","20997","649","20486","744","8498","678","10356","680","6258","458","8204","573","9673","538","5613","415","4641","385","4353","380","385279","2333","27141","889","26336","869","24689","1150","13854","586","8450","420","4562","561","5082","543","17183","731","34490","829","32138","811","26572","1071","24373","944","22376","725","22358","698","22870","873","9372","577","12869","741","7965","581","9204","590","11460","624","8482","527","5743","418","7710","557",
"5001600US0607","Congressional District 7 (116th Congress), California","747097","2441","365160","2158","23528","720","24745","975","25832","945","15325","640","8668","442","4608","468","4007","410","14307","687","26319","894","25427","837","25200","903","22802","987","25238","821","26186","602","24383","941","8259","598","13076","626","7477","522","9277","532","11483","564","8334","455","5650","433","5029","485","381937","2333","21972","807","23626","901","24041","974","15143","529","8049","376","4496","546","4218","489","13901","719","25433","723","24852","753","24842","1000","24605","859","26305","681","27315","699","26191","944","9947","637","13910","676","8868","537","11731","550","14417","585","10409","571","8141","533","9525","634",
"5001600US0608","Congressional District 8 (116th Congress), California","721709","2642","360281","2483","27604","1237","28539","1156","28067","1116","17324","779","10256","589","6596","628","5604","738","16019","844","25733","1075","23014","1011","22174","894","20185","1045","20789","880","22343","928","21789","1046","8167","580","11495","669","6425","521","9990","664","11368","666","8168","496","4946","471","3686","390","361428","2668","28093","1055","28601","1038","26004","1222","15905","821","8839","751","5247","651","4614","588","13600","930","24102","1084","24029","941","21055","973","21623","998","20667","873","23576","935","22711","1019","10402","765","12062","836","6829","527","9916","536","12487","758","9257","585","5768","555","6041","551",
"5001600US0609","Congressional District 9 (116th Congress), California","758327","2019","375294","1847","27175","925","28690","1052","30591","1078","18691","660","11794","586","5395","543","5662","560","15462","735","26132","930","25010","722","24202","775","23307","765","24027","846","23655","798","22929","860","8689","590","11770","656","6145","472","9016","524","10946","610","7383","492","4638","436","3985","377","383033","2031","25291","874","29365","1078","28924","1107","17183","658","10432","550","4632","555","5745","570","15122","939","25140","851","25023","745","24805","968","24646","932","23945","865","24341","668","23261","952","9449","594","12056","642","7956","654","9571","554","13052","613","9116","522","6369","473","7609","584",
