Year,State,District,Name,Photo,Photo_Downloadable,Party,Votes,Incumbent,ID
2020,CA,1,Doug LaMalfa,https://upload.wikimedia.org/wikipedia/commons/6/60/Doug_LaMalfa_116th_Congress.jpg,T,Republican,"204,190",1,CA_1_1
2020,CA,1,Audrey Denney,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,"154,073",0,CA_1_2
2020,CA,2,Jared Huffman,https://upload.wikimedia.org/wikipedia/commons/8/84/Jared_Huffman_official_photo_%28cropped%29.png,T,Democratic,"294,435",1,CA_2_1
2020,CA,2,Dale K. Mensing,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"94,320",0,CA_2_2
2020,CA,3,John Garamendi,https://upload.wikimedia.org/wikipedia/commons/9/96/John_Garamendi_official_photo.jpg,T,Democratic,"176,036",1,CA_3_1
2020,CA,3,Tamika Hamilton,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"145,941",0,CA_3_2
2020,CA,4,Tom McClintock,https://upload.wikimedia.org/wikipedia/commons/2/29/Tom_McClintock%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.JPG,T,Republican,"247,291",1,CA_4_1
2020,CA,4,Brynne S. Kennedy,https://upload.wikimedia.org/wikipedia/commons/f/f0/Brynne_Kennedy_2020_%28cropped%29.jpg,T,Democratic,"194,731",0,CA_4_2
2020,CA,5,Mike Thompson,https://upload.wikimedia.org/wikipedia/commons/0/05/Mike_Thompson%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg,T,Democratic,"271,233",1,CA_5_1
2020,CA,5,Scott Giblin,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"85,277",0,CA_5_2
2020,CA,6,Doris Matsui,https://upload.wikimedia.org/wikipedia/commons/4/42/Doris_Matsui_Official_Photo_%28cropped%29.JPG,T,Democratic,"229,648",1,CA_6_1
2020,CA,6,Chris Bish,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"83,466",0,CA_6_2
2020,CA,7,Ami Bera,https://upload.wikimedia.org/wikipedia/commons/e/e5/Ami_Bera%2C_Official_Portrait%2C_115th_Congress_%28cropped%29.jpg,T,Democratic,"217,416",1,CA_7_1
2020,CA,7,Buzz Patterson,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"166,549",0,CA_7_2
2020,CA,8,Jay Obernolte,https://upload.wikimedia.org/wikipedia/commons/b/b6/Jay_Obernolte_%28cropped%29.png,T,Republican,"158,711",0,CA_8_1
2020,CA,8,Christine Bubser,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,"124,400",0,CA_8_2
2020,CA,9,Jerry McNerney,https://upload.wikimedia.org/wikipedia/commons/a/a4/Jerry_McNerney%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg,T,Democratic,"174,252",1,CA_9_1
2020,CA,9,Tony Amador,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"128,358",0,CA_9_2
2020,CA,10,Josh Harder,https://upload.wikimedia.org/wikipedia/commons/8/8d/Josh_Harder%2C_official_portrait%2C_116th_Congress_%283x4%29.jpg,T,Democratic,"161,745",1,CA_10_1
2020,CA,10,Ted Howze,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"131,447",0,CA_10_2
2020,CA,11,Mark DeSaulnier,https://upload.wikimedia.org/wikipedia/commons/2/20/Mark_DeSaulnier-1_%28cropped%29.jpeg,T,Democratic,"271,063",1,CA_11_1
2020,CA,11,Nisha Sharma,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"100,293",0,CA_11_2
2020,CA,12,Nancy Pelosi,https://upload.wikimedia.org/wikipedia/commons/1/12/Official_photo_of_Speaker_Nancy_Pelosi_in_2019_%281%29.jpg,T,Democratic,"281,776",1,CA_12_1
2020,CA,12,Shahid Buttar,https://upload.wikimedia.org/wikipedia/commons/f/fb/Shahid_Buttar_on_Jenerational_Change_%28cropped%29.png,T,Democratic,"81,174",0,CA_12_2
2020,CA,13,Barbara Lee,https://upload.wikimedia.org/wikipedia/commons/0/01/U.S._Rep._Barbara_Lee_-_Official_Portrait%2C_115th_Congress.jpg,T,Democratic,"327,863",1,CA_13_1
2020,CA,13,Nikka Piterman,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"34,955",0,CA_13_2
2020,CA,14,Jackie Speier,https://upload.wikimedia.org/wikipedia/commons/d/d1/Jackie_Speier_official_photo_%28cropped_2%29.jpg,T,Democratic,"278,227",1,CA_14_1
2020,CA,14,Ran Petel,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"72,684",0,CA_14_2
2020,CA,15,Eric Swalwell,https://upload.wikimedia.org/wikipedia/commons/f/f9/Eric_Swalwell_114th_official_photo_%28cropped%29.jpg,T,Democratic,"242,991",1,CA_15_1
2020,CA,15,Alison Hayden,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"99,710",0,CA_15_2
2020,CA,16,Jim Costa,https://upload.wikimedia.org/wikipedia/commons/3/39/Jim_Costa_116th_Congress.jpg,T,Democratic,"128,690",1,CA_16_1
2020,CA,16,Kevin Cookingham,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"88,039",0,CA_16_2
2020,CA,17,Ro Khanna,https://upload.wikimedia.org/wikipedia/commons/1/16/Ro_Khanna%2C_official_portrait%2C_115th_Congress_%283x4%29.jpg,T,Democratic,"212,137",1,CA_17_1
2020,CA,17,Ritesh Tandon,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"85,199",0,CA_17_2
2020,CA,18,Anna Eshoo,https://upload.wikimedia.org/wikipedia/commons/1/14/Anna_Eshoo_official_2018.jpg,T,Democratic,"217,377",1,CA_18_1
2020,CA,18,Rishi Kumar,https://upload.wikimedia.org/wikipedia/commons/0/05/RishiKumar_%28cropped%29.jpg,T,Democratic,"126,750",0,CA_18_2
2020,CA,19,Zoe Lofgren,https://upload.wikimedia.org/wikipedia/commons/b/bb/Zoe_Lofgren_headshot.jpg,T,Democratic,"224,385",1,CA_19_1
2020,CA,19,Justin Aguilera,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"88,642",0,CA_19_2
2020,CA,20,Jimmy Panetta,https://upload.wikimedia.org/wikipedia/commons/8/82/Jimmy_Panetta%2C_official_portrait%2C_115th_Congress.jpg,T,Democratic,"236,896",1,CA_20_1
2020,CA,20,Jeff Gorman,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,"71,658",0,CA_20_2
2020,CA,21,David Valadao,https://upload.wikimedia.org/wikipedia/commons/0/01/David_Valadao%2C_official_portrait%2C_117th_Congress_%28cropped%29.png,T,Republican,"85,928",0,CA_21_1
2020,CA,21,TJ Cox,https://upload.wikimedia.org/wikipedia/commons/a/a1/TJ_Cox%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg,T,Democratic,"84,406",1,CA_21_2
2020,CA,22,Devin Nunes,https://upload.wikimedia.org/wikipedia/commons/0/0b/Devin_Nunes%2C_official_portrait%2C_112th_Congress.jpg,T,Republican,"170,888",1,CA_22_1
2020,CA,22,Phil Arballo,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,"144,251",0,CA_22_2
2020,CA,23,Kevin McCarthy,https://upload.wikimedia.org/wikipedia/commons/2/2b/Kevin_McCarthy%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg,T,Republican,"190,222",1,CA_23_1
2020,CA,23,Kim Mangone,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,"115,896",0,CA_23_2
2020,CA,24,Salud Carbajal,https://upload.wikimedia.org/wikipedia/commons/9/96/Salud_Carbajal_116th_Congress.jpg,T,Democratic,"212,564",1,CA_24_1
