,Year,District,Party,Incumbent,Gender,Age,Edu,score,score_CNN,vote_share,ln_vote_share,Poverty (%),Median_Household_Income,Pop_Total,Sex Ratio,Agesq,Edu_Level,Master & Above,College,High School,Republican,Democratic,Other,city_type,Incumbent_0,Incumbent_1,Gender_F,Gender_M,city_type_rural,city_type_transition,city_type_urban
0,2018,1,Republican,1,M,58.0,Bachelor,45.0,52.0,0.5488658888728849,-0.5999011498775029,15.0,56008,711282,1.0112881562018408,3364.0,2,0,1,0,1,0,0,rural,0,1,0,1,1,0,0
1,2018,1,Democratic,0,F,34.0,Master,79.0,79.0,0.4511341111271151,-0.7959906197651304,15.0,56008,711282,1.0112881562018408,1156.0,3,1,0,0,0,1,0,rural,1,0,1,0,1,0,0
2,2018,2,Democratic,1,M,54.0,Doctor,71.0,71.0,0.7700795483705415,-0.261261459898342,11.4,79338,722370,0.979128424028888,2916.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
3,2018,2,Republican,0,M,60.0,Bachelor,73.0,70.0,0.2299204516294585,-1.470021892363779,11.4,79338,722370,0.979128424028888,3600.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
4,2018,3,Democratic,1,M,73.0,Master,76.0,78.0,0.5807294694102502,-0.5434702598114388,13.8,70807,748104,0.9795457732782596,5329.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
5,2018,3,Republican,0,M,63.0,Bachelor,70.0,69.0,0.4192705305897499,-0.869238909675177,13.8,70807,748104,0.9795457732782596,3969.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
6,2018,4,Republican,1,M,62.0,Bachelor,80.0,81.0,0.5413146477070576,-0.6137545653069049,8.8,78285,754525,1.0018332948633253,3844.0,2,0,1,0,1,0,0,transition,0,1,0,1,0,1,0
7,2018,4,Democratic,0,F,36.0,Master,72.0,74.0,0.4586853522929424,-0.7793908109759932,8.8,78285,754525,1.0018332948633253,1296.0,3,1,0,0,0,1,0,transition,1,0,1,0,0,1,0
8,2018,5,Democratic,1,M,67.0,Master,58.0,73.0,0.788681240374227,-0.2373930443635095,9.5,83141,730955,0.9657677185471248,4489.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
10,2018,6,Democratic,1,F,74.0,Bachelor,69.0,68.0,0.8042577213911132,-0.2178355121741012,17.1,62594,777985,0.958895141695308,5476.0,2,0,1,0,0,1,0,transition,0,1,1,0,0,1,0
11,2018,6,Democratic,0,M,38.0,Bachelor,74.0,70.0,0.1957422786088868,-1.6309563900545343,17.1,62594,777985,0.958895141695308,1444.0,2,0,1,0,0,1,0,transition,1,0,0,1,0,1,0
12,2018,7,Democratic,1,M,53.0,Doctor,82.0,84.0,0.550449724270907,-0.5970196543816338,12.0,81435,753640,0.9570134277857268,2809.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
13,2018,7,Republican,0,M,47.0,Master,80.0,79.0,0.449550275729093,-0.7995075832068806,12.0,81435,753640,0.9570134277857268,2209.0,3,1,0,0,1,0,0,transition,1,0,0,1,0,1,0
14,2018,8,Republican,1,M,75.0,Master,82.0,83.0,0.5996721023509091,-0.51137226923122,18.2,56311,717107,1.0160500872929077,5625.0,3,1,0,0,1,0,0,rural,0,1,0,1,1,0,0
15,2018,8,Republican,0,M,52.0,Bachelor,58.0,62.0,0.4003278976490909,-0.9154713235581364,18.2,56311,717107,1.0160500872929077,2704.0,2,0,1,0,1,0,0,rural,1,0,0,1,1,0,0
16,2018,9,Democratic,1,M,67.0,Doctor,64.0,59.0,0.5649148498478306,-0.5710802674272513,13.7,74078,775148,0.964623257204989,4489.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
17,2018,9,Republican,0,F,41.0,Bachelor,68.0,66.0,0.4350851501521695,-0.8322135195732387,13.7,74078,775148,0.964623257204989,1681.0,2,0,1,0,1,0,0,transition,1,0,1,0,0,1,0
