Feature,Score (Mean),Score (Std),N,Score_CNN (Mean),Score_CNN (Std),N_CNN
Gender_M,71.4409,7.6352,127,72.1654,7.0528,127
Gender_F,74.7258,6.2651,62,74.8387,7.331,62
Master & Above,72.7523,6.915,109,72.8991,7.1892,109
College,72.2895,8.071,76,73.4211,7.4499,76
High School,70.5,6.1373,4,69.75,3.7749,4
Republican,71.5479,7.974,73,72.3425,7.411,73
Democratic,73.3214,6.9596,112,73.6071,7.2103,112
Other,67.75,0.9574,4,70.0,1.8257,4
Incumbent_0,72.7045,7.1441,88,73.4091,7.0035,88
Incumbent_1,72.3564,7.5784,101,72.7228,7.4527,101
city_type_rural,69.2917,9.2618,24,70.375,7.4531,24
city_type_transition,73.028,6.7417,143,73.4196,6.9307,143
city_type_urban,72.7273,8.379,22,73.5,8.5899,22
Age: <40,73.75,6.8439,32,73.875,6.8333,32
Age: 40-50,72.6216,7.0567,37,72.7297,7.3924,37
Age: 50-60,71.2857,9.0485,49,72.0204,7.9804,49
Age: 60-70,71.8043,6.6754,46,72.8043,7.1075,46
Age: >70,74.52,5.6356,25,74.88,6.2405,25
